month_07,month_08,month_09,Temperature,RH,Rain,DC,FWI,log_skewed_FWI,log_skewed_DC,Classes_not fire
0,0,1,0.9964327086138682,-1.8691493500899108,-0.20471902522957813,0.8612441360334294,1.2441405027367032,0.36751433680139184,0.059441933100172595,0
0,0,0,-0.45532886443497844,1.1363817316664775,0.5120449277733526,-1.106013581244196,-1.0788848406430522,0.0,0.0,1
1,0,0,0.12537576478456022,0.5352755153151999,1.9455728337792142,-1.0693741108651,-1.0330356562342413,0.0,0.0,1
0,0,0,-0.16497654982520912,0.3349067765314407,-0.5631010017310436,0.24119156038718642,0.03677864663801439,-1.4406295547088137,-0.81827612055459,0
0,1,0,0.7060803940040988,-0.13262028063066414,-0.5631010017310436,0.2750126099678907,0.4035721219085021,-0.5048897395226903,-0.7444139279990467,0
1,0,0,0.7060803940040988,0.2013276173422679,-0.5631010017310436,2.7749518581416064,1.2899896871455137,0.398769198554565,1.0902278567293857,0
0,1,0,0.41572807939432954,-1.268043133738633,-0.20471902522957813,0.14818367404025004,0.8162147815878006,0.016084726015218955,-1.0550251394783106,0
0,1,0,1.2867850232236375,-0.600147337792769,-0.5631010017310436,1.5066624988652007,1.1218760109798738,0.27905194805968275,0.5345397083091533,0
1,0,0,-1.036033493654517,0.6020650949097863,-0.5631010017310436,-0.37040575286388044,-0.559260750676528,0.0,0.0,0
0,0,0,-1.3263858082642863,1.9378566868015143,-0.5631010017310436,-0.9171793877519311,-1.0177525947646378,0.0,0.0,1
0,1,0,1.867489652443176,-2.6706243052249476,0.8704269042748182,-0.16184261378287146,1.763764592703227,0.6748633415992829,0.0,0
0,0,1,-1.036033493654517,0.8692234132881319,3.3791007397850765,-1.100376739647412,-1.0636017791734487,0.0,0.0,1
0,0,1,-0.45532886443497844,-0.7337264969819418,1.587190857277749,-0.16466103458126352,-0.6815252424333573,0.0,0.0,1
1,0,0,-0.16497654982520912,0.8024338336935456,-0.5631010017310436,2.2479071688423002,0.7092333513005752,-0.09515350564772876,0.8952334427065014,0
0,1,0,-0.16497654982520912,0.9360129928827183,-0.5631010017310436,-0.22948471294427975,-0.0702027836492112,0.0,0.0,0
0,1,0,2.738546596272484,-2.4702555664411885,-0.5631010017310436,0.8217862448559415,2.558483789122617,1.0146811770129236,0.021552316144504865,0
1,0,0,-0.16497654982520912,1.0028025724773049,1.9455728337792142,-1.0721925316634917,-1.0330356562342413,0.0,0.0,1
1,0,0,0.7060803940040988,-0.19940986022525053,0.1536629512718873,-0.7762583478323305,-0.956620348886223,0.0,0.0,1
0,0,1,-0.16497654982520912,-0.8005160765765282,-0.5631010017310436,-0.3985899608478006,0.06734476957722173,-1.3192161817315624,0.0,0
1,0,0,1.5771373378334068,-1.2012535541440466,1.2288088807762834,-0.33376628248478435,-0.3147317671628696,0.0,0.0,0
1,0,0,0.12537576478456022,1.0028025724773049,-0.5631010017310436,1.988612455390235,0.6175349824829534,-0.20146158509820372,0.783267761016915,0
0,0,0,-0.7456811790447477,1.1363817316664775,-0.5631010017310436,-0.4408662728236808,-0.7732236112509792,0.0,0.0,0
0,1,0,0.9964327086138682,-1.067674394954874,-0.5631010017310436,-1.0440083236795716,-0.9719034103558266,0.0,0.0,1
1,0,0,0.7060803940040988,-1.268043133738633,0.5120449277733526,-0.06037946504075893,-0.14661809099722947,0.0,0.0,0
0,0,1,-0.7456811790447477,1.2699608908556503,-0.5631010017310436,-0.3591320696703124,-0.5439776892069244,0.0,0.0,0
0,0,0,-0.7456811790447477,0.2013276173422679,-0.5631010017310436,-0.897450442163187,-0.956620348886223,0.0,0.0,1
1,0,0,0.41572807939432954,-1.067674394954874,-0.5631010017310436,-0.6522478327030818,1.0454607036318555,0.21950550454541232,0.0,0
1,0,0,-0.16497654982520912,1.0028025724773049,1.9455728337792142,-1.0721925316634917,-1.0330356562342413,0.0,0.0,1
0,0,1,-0.45532886443497844,-0.7337264969819418,1.587190857277749,-0.16466103458126352,-0.6815252424333573,0.0,0.0,1
0,0,0,-2.197442752093594,1.8042775276123417,0.1536629512718873,-0.2379399753394559,-1.0636017791734487,0.0,0.0,1
0,0,1,-2.487795066703364,0.2013276173422679,0.1536629512718873,-0.8664478133808748,-1.0330356562342413,0.0,0.0,1
1,0,0,0.41572807939432954,-0.19940986022525053,-0.5631010017310436,-0.2943083913072962,0.4035721219085021,-0.5048897395226903,0.0,0
0,0,1,-0.45532886443497844,0.3349067765314407,-0.5631010017310436,-0.6297004663159458,-0.48284544332850987,0.0,0.0,0
1,0,0,0.41572807939432954,-1.067674394954874,-0.5631010017310436,-0.6522478327030818,1.0454607036318555,0.21950550454541232,0.0,0
0,1,0,0.7060803940040988,-0.6669369173873554,0.5120449277733526,0.785146774476845,-0.46756238185890614,0.0,-0.01496463928971664,1
0,1,0,0.7060803940040988,-0.13262028063066414,-0.5631010017310436,0.2750126099678907,0.4035721219085021,-0.5048897395226903,-0.7444139279990467,0
1,0,0,0.7060803940040988,0.2013276173422679,-0.5631010017310436,2.7749518581416064,1.2899896871455137,0.398769198554565,1.0902278567293857,0
0,1,0,1.5771373378334068,-0.600147337792769,-0.5631010017310436,-1.0355530612843957,-0.9871864718254304,0.0,0.0,1
1,0,0,0.12537576478456022,0.2681171969368543,-0.20471902522957813,0.4187520706858834,-0.49812850479811344,0.0,-0.48005061854179293,0
0,0,1,-1.3263858082642863,0.6020650949097863,-0.5631010017310436,-0.3140373368960402,-0.65095911949415,0.0,0.0,1
0,0,1,-0.45532886443497844,0.06774845815309508,-0.5631010017310436,-0.8326267638001708,-0.6203929965549426,0.0,0.0,0
0,0,0,1.2867850232236375,-1.601991031711565,-0.5631010017310436,0.145365253241858,1.7026323468248121,0.64323837302529,-1.0631527169348653,0
0,0,1,-0.7456811790447477,0.2681171969368543,-0.5631010017310436,-0.07728998983111104,-0.11605196805802213,0.0,0.0,0
1,0,0,0.9964327086138682,-0.7337264969819418,-0.5631010017310436,0.6695915217427726,1.5345186706591722,0.5507299516586761,-0.13973169282849243,0
1,0,0,0.7060803940040988,-1.268043133738633,0.5120449277733526,-0.06037946504075893,-0.14661809099722947,0.0,0.0,0
1,0,0,0.12537576478456022,0.1345380377476815,3.3791007397850765,0.26373892677432265,-0.7273744268421682,0.0,-0.7684335429211505,1
0,0,1,-0.45532886443497844,0.3349067765314407,-0.5631010017310436,-0.6297004663159458,-0.48284544332850987,0.0,0.0,0
0,0,1,-0.7456811790447477,0.2681171969368543,-0.5631010017310436,-0.888995179768011,-0.9871864718254304,0.0,0.0,1
0,0,0,0.12537576478456022,-1.0008848153602874,3.3791007397850765,-1.09755831884902,-0.9260542259470157,0.0,0.0,1
0,0,0,-0.16497654982520912,0.3349067765314407,-0.5631010017310436,0.24119156038718642,0.03677864663801439,-1.4406295547088137,-0.81827612055459,0
0,0,0,0.9964327086138682,-0.39977859900900975,-0.5631010017310436,-0.1111110394118153,0.7245164127701788,-0.07848447518092667,0.0,0
0,1,0,0.9964327086138682,0.0009588785585086735,0.5120449277733526,1.2163651566308233,-0.46756238185890614,0.0,0.3480938410030302,0
